OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,acres_burned,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,shape__Area,shape__Length
9358,State agency,Named 'Fire 237; in FireCode; DOFFire 913237,Unknown,6/15/2009 0:00,2009-AKTAS-913237,2009,Swamp Creek,,6/12/2009 0:00,6590.71691,,EY1B,,AKTAS,AK,,913237,,N,,128440684.6,66633.37018
9359,State agency,No Incident Name in FireCode; DOFFire 904364,Unknown,7/23/2009 0:00,2009-AKSWS-E0Q5,2009,Gagaryah 2,,7/22/2009 0:00,19690.25905,,E0Q5,,AKSWS,AK,,,,N,,353013624.2,105832.8048
9360,USFS,,Unknown,1/7/2013 0:00,2006-AZKNF-000149,2006,West,,6/8/2006 0:00,1926.801656,,,,AZKNF,AZ,,149,,N,,11914912.26,18571.83434
9363,USFS,,Unknown,8/1/2008 0:00,2008-CASHF-000663,2008,Handy Gap,,7/31/2008 0:00,2.29341211,YOLLA BOLLY COMPLEX,,,CAMNF,CA,,663,,Y,D85T,15931.78125,667.3685599
9364,BLM,GPS_WALKED,GPS-Walked,8/6/2008 0:00,2008-IDSIX-000192,2008,TREASURE VAULT,,7/11/2008 11:28,13.25261987,,EA9N,,IDTFD,ID,,192,,N,,101780.2109,3579.007439
9368,USFS,Local Number is 1079.  FireCode is Iron's #,Unknown,7/12/2008 0:00,2008-CASHF-001079,2008,Bacon,,7/11/2008 0:33,2.06599083,Alps Complex,,,CASHF,CA,,1079,,Y,D8HV,14706.71875,724.8612079
9369,State agency,No Incident Name in FireCode; DOFFire 904381,Unknown,7/7/2009 0:00,2009-AKSWS-904381,2009,Naknek,,7/6/2009 0:00,19.18033803,,E03L,,AKSWS,AK,,904381,,N,,287498.4375,3219.701437
9370,State agency,,Unknown,1/20/2011 0:00,2009-NMN5S-000198,2009,Four Mile,,4/23/2009 12:10,29975.69611,,EU7X,,NMN5S,NM,,198,,N,,171797309.3,77018.45028
9372,State agency,,Unknown,1/20/2011 0:00,2009-NMN5S-000062,2009,HOT WATER,,1/11/2009 13:05,31.34149091,,EQZ0,,NMN5S,NM,,62,,N,,178802.0508,2292.996868
9373,BLM,GPS walked - driven,GPS-Walked/ Driven,8/20/2008 0:00,2008-IDTFD-000340,2008,Devils,,8/14/2008 19:11,156.5491314,,EGY8,,IDTFD,ID,,340,,N,,1170006.645,5820.796692
9376,State agency,No entry in FireCode,Unknown,1/11/2011 0:00,2008-CA-002364,2008,GUYS,,5/20/2008 0:00,2.05156261,,,,CA,CA,,2364,,N,,14875.5625,904.0236063
9377,USFS,No entry in FireCode,Unknown,1/11/2011 0:00,2008-CA-005708,2008,QUARRY,,6/21/2008 0:00,0.0611919,,,,CA,CA,,5708,,N,,421.4296875,102.5952586
9378,State agency,GPS,GPS-Unknown Travel Method,8/31/2009 0:00,2009-CALMU-004366,2009,Day,,8/28/2009 16:30,852.8340555,,E5WY,,CALMU,CA,,4366,,N,,6082190.285,14120.04977
9379,State agency,Named ’Lamb’ in FireCode,Unknown,8/3/2009 0:00,2009-CARRU-060763,2009,Lambs,,7/11/2009 0:00,288.1363189,,E1KX,,CARRU,CA,,60763,,N,,1695475.523,5976.880502
9380,BLM,GPS walked,GPS-Walked,5/6/2011 0:00,2009-WYCAD-009176,2009,DDG 2 Mile,,9/6/2009 21:00,185.100849,,E6SM,,WYCAD,WY,,9176,,N,,1436224.48,5795.488507
9381,State agency,Named '169' in FireCode; DOFFire 904169,Unknown,8/13/2009 0:00,2009-AKSWS-904169,2009,Katlitna,,8/11/2009 0:00,6569.759423,,EW94,,AKSWS,AK,,904169,,N,,125638340.2,52476.71076
9382,FWS,WFDSS; GPS air,GPS-Flight,10/21/2010 0:00,2010-ORSHR-000262,2010,Poker Jim,,8/9/2010 14:00,3149.396934,,FP5X,,ORSHR,OR,,262,,N,,23622166.75,32751.36598
9383,BLM,Shapefile Fire_Name 'Saylor Creek';GPS Walked/Dr,GPS-Walked/ Driven,9/9/2009 0:00,2009-IDTFD-000302,2009,Sailor Creek,,8/30/2009 2:04,98.27475531,,E53M,,IDTFD,ID,,302,,N,,738668.6914,4231.515708
9384,State agency,FIMT,Unknown,8/20/2009 0:00,2009-CANEU-016856,2009,Yuba,,8/19/2009 21:39,3828.632995,,E49L,,CANEU,CA,,16856,,N,,25936615.14,26961.80339
9385,BLM,GPS,GPS-Unknown Travel Method,3/29/2013 0:00,2009-UTMOD-009199,2009,Diamond,,8/3/2009 0:00,16.31736953,,E38D,,UTMOD,UT,,9199,,N,,110178.418,1436.991359
9386,USFS,GPS,GPS-Unknown Travel Method,1/8/2013 0:00,2009-NMGNF-000436,2009,Radar,,8/2/2009 16:48,363.6171009,,E4BQ,,NMGNF,NM,,436,,N,,2098379.184,9348.923751
9387,State agency,,Unknown,7/16/2008 0:00,2008-CAMEU-004608,2008,Leonard Lake,,7/15/2008 0:00,0.14755904,MEU LIGHTNING COMPLEX,,,CAMEU,CA,,4608,,Y,D8UP,997.4101563,120.3011872
9388,BLM,GPS,GPS-Unknown Travel Method,2/12/2014 0:00,2008-ORVAD-000089,2008,ROCKY BUTTE,,8/8/2008 0:00,1.08268511,,EFS3,,ORVAD,OR,,89,,N,,8271.957031,392.71507
9390,BLM,GPS Driven,GPS-Driven,7/22/2009 0:00,2009-IDBOD-000396,2009,Bonneville,,7/12/2009 0:00,292.8080198,,E1PN,,IDBOD,ID,,396,,N,,2252101.047,10643.92082
9391,USFS,GPS,GPS-Unknown Travel Method,1/8/2013 0:00,2009-NMGNF-000402,2009,Couger,,7/27/2009 12:38,289.8148924,,E4KP,,NMGNF,NM,,402,,N,,1676236.18,7672.674987
9392,USFS,,Digitized-Other,9/6/2005 0:00,2005-ORWWF-000925,2005,Granite WFU Complex,,9/4/2005 21:10,2.3102434,Granite WFU Complex,,,ORWWF,OR,,925,,Y,B3ZY,18950.21094,581.3646433
9395,USFS,Unknown,Unknown,5/2/2011 0:00,2008-CASRF-001126,2008,Haypress,,6/21/2008 0:00,13664.68307,UKONOM COMPLEX,,,CASRF,CA,,1126,,Y,D8RS,98571552.23,76506.79735
9398,Unknown,No Fire Number found,Unknown,8/12/2008 0:00,2008-TX,2008,Stone Ranch,,8/11/2008 0:00,15.13674104,,,,TX,TX,,008-TX,,N,,87343.45703,1777.414365
9401,State agency,No Fire Code found,Unknown,5/20/2008 0:00,2008-FLFLS-15-0139,2008,Addison Avenue,,5/9/2008 0:00,509.1628792,,,,FLFLS,FL,,5-0139,,N,,2612346.895,8150.428866
9409,USFS,GPS ground,GPS-Walked/ Driven,1/11/2011 0:00,2008-CASHF-001041,2008,Long,,6/21/2008 0:00,10.5415758,LIME COMPLEX,,,CASHF,CA,,1041,,Y,D8HC,73046.19922,1095.482152
9414,BLM,WFDSS; GPS air,GPS-Flight,10/21/2010 0:00,2010-UTVLD-000199,2010,Augusi,,9/7/2010 0:00,955.5080338,,FS91,,UTVLD,UT,,199,,N,,6534963.406,25000.56131
9415,USFS,Hand drawn,Hand Sketch,4/14/2011 0:00,2010-CALPF-003491,2010,Figueroa,,11/16/2010 22:41,74.59801553,,FY2U,,CALPF,CA,,3491,,N,,448100.4414,3585.448277
9425,Unknown,no fire number found,Unknown,8/10/2008 0:00,2008-WA,2008,Wye,,8/8/2008 0:00,0.49073421,,,,WA,WA,,008-WA,,N,,4186.632813,313.4011228
9431,State agency,GPS ground,GPS-Walked/ Driven,1/11/2011 0:00,2008-CATCU-006881,2008,FRENCH,,7/22/2008 15:03,101.0736786,,EC64,,CATCU,CA,,6881,,N,,659416.168,4275.603518
9432,USFS,,Unknown,1/7/2013 0:00,2006-TX-000007,2006,I-40,,3/26/2006 0:00,427435.1846,,,,TX,TX,,7,,N,,2602601803,352461.5685
9433,USFS,,Unknown,1/7/2013 0:00,2006-AZPNF-000258,2006,Cornfield,,5/28/2006 12:45,1045.18232,,CM1V,,AZPNF,AZ,,258,,N,,6258871.293,10255.91422
9435,BLM,GPS_WALKED/DRIVEN,GPS-Walked/ Driven,8/6/2008 0:00,2008-IDSIX-000171,2008,REST AREA,,7/4/2008 7:45,156.8736483,,D9ZN,,IDTFD,ID,,171,,N,,1185057.496,9949.007898
9438,BLM,No Fire Number found,Unknown,7/9/2008 0:00,2008-ORPRD,2008,I_284,,7/6/2008 16:00,9787.672162,,,,ORPRD,OR,,,,N,,81046515.88,81982.8215
9440,BLM,,Unknown,7/9/2008 0:00,2008-ORPRD-000250,2008,Jack Knife,,7/5/2008 15:00,20114.26543,,D9J0,,ORPRD,OR,,250,,N,,164345327.8,103823.1564
9441,State agency,GPS ground,GPS-Walked/ Driven,1/11/2011 0:00,2008-CASCU-003091,2008,Whitehurst,,6/21/2008 0:00,256.016308,,D8MV,,CASCU,CA,,3091,,N,,1627251.023,5899.679089
9450,Unknown,Perimeter Date Unknown,Unknown,,2000-OR,2000,Slide Mountain,,12/31/2000 0:00,0.78322161,,,,,OR,,,,N,,6194.015625,285.9045819
9455,USFS,Heat Perimeter,Infrared Image,8/7/2008 0:00,2008-CAKNF-002975,2008,Siskiyou Complex,,8/6/2008 20:56,59639.40213,SISKIYOU COMPLEX,,,CAKNF,CA,,2975,,Y,D8LF,431464136.5,202158.2079
9457,State agency,No entry in FireCode; GPS ground,GPS-Walked/ Driven,1/11/2011 0:00,2008-CA-007985,2008,ROAD 600,,6/21/2008 0:00,2.01700772,,,,CA,CA,,7985,,N,,12927.30859,708.4167526
9464,BLM,GPS_WALKED/DRIVEN,GPS-Walked/ Driven,7/31/2008 0:00,2008-IDTFD-000140,2008,HORSE  HILL,,6/30/2008 10:36,534.030614,,D9FK,,IDTFD,ID,,140,,N,,3922684.598,10190.04066
9465,BLM,,Unknown,10/25/2013 0:00,2005-IDSIX-000684,2005,Box Canyon,,7/1/2005 0:00,9.61863742,,BW1W,,IDTFD,ID,,684,,N,,72122.46094,1588.215122
9469,USFS,Heat Perimeter,Infrared Image,9/8/2008 0:00,2008-CASHF-001057,2008,Eagle,,9/5/2008 20:11,32084.89479,IRON COMPLEX,,,CASHF,CA,,1057,,Y,D8HV,226228070.4,129093.2252
9472,BIA,,GPS-Flight,7/28/2005 0:00,2005-ORWSA-000057,2005,Rattlesnake Ridge,,7/24/2005 0:00,1170.675383,,,,ORWSA,OR,,57,,N,,9433778.938,17321.90009
9473,USFS,,Digitized-Other,8/19/2005 0:00,2005-ORUMF-000130,2005,School,,8/18/2005 21:15,49691.90126,,B3CQ,,ORUMF,OR,,130,,N,,420927461.1,163563.5775
9488,USFS,FIMT,Unknown,8/17/2008 0:00,2008-CASRF-001126,2008,Ukonom,,8/16/2008 21:22,51417.57058,UKONOM COMPLEX,,,CASRF,CA,,1126,,Y,D8RS,369971763.2,358308.1317
9492,BLM,GPS,GPS-Unknown Travel Method,9/15/2010 0:00,2008-COGRD-000165,2008,Ash Mead,,7/2/2008 16:44,129.8031448,,D9RE,,COGRD,CO,,165,,N,,878196.1875,4489.09483
9495,Unknown,Unknown Date,Unknown,5/6/2008 0:00,2003-WY,2003,Rabbit Creek Fire,,12/31/2003 0:00,1657.793318,,,,WY,WY,,,,N,,12243456.02,19772.95818
9502,Unknown,Unknown Date,Unknown,5/6/2008 0:00,2003-WY,2003,Small Road Fire,,12/31/2003 0:00,42.86633779,,,,WY,WY,,,,N,,332575.1016,5706.343675
9518,Local agency,,Unknown,11/19/2008 0:00,2008-CAORC-EPH3,2008,Freeway,,11/19/2008 10:00,30305.50664,,EPH3,,CAORC,CA,,,,N,,178553540.3,109755.6902
9521,Unknown,Unknown Date,Unknown,5/6/2008 0:00,2003-WY,2003,Teckla Fire,,12/31/2003 0:00,172.8825337,,,,WY,WY,,,,N,,1332235.266,8648.70843
9522,BLM,GPS walked,GPS-Walked,8/31/2010 0:00,2010-IDBOD-000733,2010,Dry,,8/27/2010 0:00,58.0913633,,FS92,,IDBOD,ID,,733,,N,,444928.875,3685.377712
9524,BLM,WILDFIRE,Unknown,1/20/2009 0:00,2008-NMROD-000006,2008,LONG DRAW 1,,4/28/2008 0:00,53.03410883,,D54P,,NMROD,NM,,6,,N,,306619.1523,3277.850515
9525,USFS,WFDSS; GPS air,GPS-Flight,11/1/2010 0:00,2010-WYBTF-000042,2010,Gravel,,10/27/2010 0:00,1145.292373,,FS0K,,WYBTF,WY,,42,,N,,8948498.09,17030.31851
9527,BLM,GPS walked,GPS-Walked,9/1/2010 0:00,2010-IDIFD-010021,2010,Riverton,,8/26/2010 0:00,11.75269759,,FS70,,IDIFD,ID,,10021,,N,,89421.48438,2088.606685
9533,BLM,GPS helicoptor,GPS-Flight,4/28/2011 0:00,2010-WYCAD-010208,2010,Claybaugh,,8/31/2010 12:00,704.2665496,,FT02,,WYCAD,WY,,10208,,N,,5607336.871,12281.82039
9534,FWS,WFDSS; GPS ground,GPS-Walked/ Driven,11/22/2010 0:00,2010-FLLSR-FV7Y,2010,SI Campground Debris,,11/22/2010 0:00,0.04103864,,FV7Y,,FLLSR,FL,,,,N,,219.5390625,63.70117393
9546,USFS,Unknown collection method,Unknown,4/14/2011 0:00,2010-CACNF-000132,2010,Tenaja,,1/14/2010 15:15,109.5160425,,E9AV,,CACNF,CA,,132,,N,,640390.8281,5828.117037
9547,USFS,WFDSS; GPS ground,GPS-Walked/ Driven,12/16/2010 0:00,2010-NMSNF-000166,2010,Gallina,,12/14/2010 19:00,16.37620774,,FZ0J,,NMSNF,NM,,166,,N,,101519.8516,1739.931327
9548,BLM,,Unknown,1/20/2011 0:00,2008-NMCAD-000028,2008,BOUNDER ROAD,,4/10/2008 13:40,2038.38235,,D47X,,NMCAD,NM,,28,,N,,11567697.12,28015.38556
9550,State agency,DOFFire 004267; Named '267' in FireCode,Unknown,10/20/2010 0:00,2010-AKSWS-004267,2010,Dominion Creek,,7/19/2010 0:00,614.0916901,,FFC6,,AKSWS,AK,,4267,,N,,12309346.55,16487.82923
9553,USFS,No entry in FireCode; HD,Hand Sketch,1/11/2011 0:00,2008-CA-000018,2008,BIG TREES,,8/5/2008 0:00,124.8193065,,,,CA,CA,,18,,N,,798873.4414,3362.462559
9554,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-ID,2000,Sheep Lightning 3,,12/31/2000 0:00,105.0668273,,,,,ID,,,,N,,961232.3594,4000.529755
9555,Local Agency,Photo interpretation; No entry in FireCode,Digitized-Image,4/14/2011 0:00,2010-CALAC-209528,2010,Colima,,9/16/2010 0:00,11.20270417,,,,CALAC,CA,,209528,,N,,66082.62891,1339.274801
9558,State Agency,GPS ground; No entry in FireCode,GPS-Walked/ Driven,4/14/2011 0:00,2010-CASLU-004751,2010,Creek,,6/26/2010 0:00,10.18736187,,,,CASLU,CA,,4751,,N,,62092.75391,1476.630926
9559,BLM,GPS_WALKED/DRIVEN,GPS-Walked/ Driven,8/9/2008 0:00,2008-IDIFD-008016,2008,MILEPOST 301,,8/5/2008 8:36,19.60077893,,EE0J,,IDIFD,ID,,8016,,N,,150858.2031,3217.166178
9565,USFS,FIMT,Unknown,8/19/2008 0:00,2008-CASHF-000663,2008,Vinegar,,8/18/2008 0:00,47728.54462,YOLLA BOLLY COMPLEX,,,CAMNF,CA,,663,,Y,D85T,330640728.3,210352.9335
9571,BLM,,Unknown,8/29/2008 0:00,2008-NVNWS-000610,2008,Chalk Hill,,7/18/2008 0:00,7.49751729,,D9AP,,NVNWS,NV,,610,,N,,50862.71875,925.7638713
9572,USFS,Heat Perimeter,Infrared Image,9/10/2008 0:00,2008-IDSTF-000294,2008,South Barker,,9/9/2008 20:18,34246.78335,,EF06,,IDSTF,ID,,294,,N,,264877039.4,175696.4862
9577,BLM,,GPS-Flight,7/7/2005 0:00,2005-UTSLD-000133,2005,Wig Mountain,,6/28/2005 11:52,690.997556,,,,UTSLD,UT,,133,,N,,4815395.184,9379.839446
9581,BLM,,Unknown,8/22/2006 0:00,2006-NVBMD-002076,2006,Beatty,,7/10/2006 0:00,20751.79647,,CW56,,NVBMD,NV,,2076,,N,,131760909,64764.2488
9583,BLM,GPS walked,GPS-Walked,9/15/2010 0:00,2010-IDBOD-000860,2010,Hokie Creek,,9/7/2010 0:00,58.06188621,,FUN7,,IDBOD,ID,,860,,N,,439054.0664,3353.164965
9592,BLM,,Unknown,8/20/2010 0:00,2010-ORPRD-000614,2010,Fall Canyon,,8/18/2010 19:00,2701.90294,LOWER DESCHUTES COMPLEX (FR70),,,ORPRD,OR,,614,,Y,FR70,22255354.31,23677.3118
9593,BLM,,Unknown,5/12/2011 0:00,2010-MTLED-000047,2010,Swede,,7/16/2010 18:20,19.72907942,,FLT1,,MTMAD,MT,,47,,N,,179523.5391,1842.554343
9594,BLM,,Unknown,6/7/2010 0:00,2010-AKTAD-000266,2010,Slokenjikh River,,6/4/2010 0:00,10682.10486,,FE1N,,AKTAD,AK,,266,,N,,258599825.9,87007.69044
9595,BLM,,Unknown,6/11/2010 0:00,2010-AKUYD-000319,2010,Witch Mountain,,6/10/2010 0:00,1459.244897,,FE6R,,AKUYD,AK,,319,,N,,33804417.53,33249.68675
9596,BLM,,Unknown,5/12/2011 0:00,2010-MTBID-000026,2010,Jim Coulee,,8/27/2010 0:00,78.3091186,,FTL6,,MTBID,MT,,26,,N,,672651.2891,4298.397291
9597,State agency,,Unknown,6/21/2010 0:00,2010-AZA2S-FGC9,2010,Hardy,,6/20/2010 14:00,281.1231803,,FGC9,,AZA2S,AZ,,,,N,,1706835.191,7215.494368
9601,BLM,,Unknown,6/7/2010 0:00,2010-AKTAD-000286,2010,Pope Fire,,6/4/2010 0:00,95.96154438,,FE24,,AKTAD,AK,,286,,N,,2520781.109,11284.28646
9602,BIA,,Unknown,6/29/2010 0:00,2010-NMSPA-000237,2010,Cottonwood,,6/28/2010 17:00,740.0601308,,FG7V,,NMSPA,NM,,237,,N,,4259285.754,11290.86798
9603,BLM,,Unknown,8/6/2010 0:00,2010-AKUYD-000595,2010,Big Duck Lake,,8/5/2010 0:00,3546.407557,,FJ68,,AKYTDC,AK,,595,,N,,87019891.33,62025.90936
9604,BLM,,Unknown,10/27/2010 0:00,2010-AKGAD-000540,2010,Napautokik Creek,,10/18/2010 0:00,77.09290425,,FH4H,,AKGAD,AK,,540,,N,,2030186,8459.490327
9605,BLM,,Unknown,6/21/2010 0:00,2010-AKGAD-000271,2010,Twomile Creek,,6/18/2010 0:00,4244.877164,,FE1Y,,AKGAD,AK,,271,,N,,86921032.75,59981.08435
9606,BIA,,Unknown,7/14/2010 0:00,2010-WAYAA-000061,2010,Nickel,,7/13/2010 12:00,1178.948332,,FK41,,WAYAA,WA,,61,,N,,9758476.016,14754.18576
9607,BLM,,Unknown,7/19/2010 0:00,2010-AKGAD-000629,2010,Kobuk,,7/15/2010 0:00,302.391052,,FK0Z,,AKGAD,AK,,629,,N,,7958845.859,20257.27537
9608,BLM,,Unknown,7/19/2010 0:00,2010-AKTAD-000605,2010,The Divide,,7/15/2010 0:00,1257.852746,,FKD3,,AKTAD,AK,,605,,N,,32826689.56,39148.94444
9609,BLM,,Unknown,7/19/2010 0:00,2010-AKGAD-000541,2010,Timber Creek,,7/18/2010 0:00,529.8817749,,FH4K,,AKGAD,AK,,541,,N,,14169268.03,18994.36874
9610,BLM,,Unknown,3/29/3013 0:00,2010-UTSLD-000349,2010,Tabby Canyon,,7/25/2010 0:00,5.77118254,,FM3N,,UTSLD,UT,,349,,N,,40780.81641,1009.771043
9613,BLM,,Unknown,3/29/3013 0:00,2010-UTNWS-000624,2010,300,,9/7/2010 0:00,12.71352538,,FUN0,,UTSLD,UT,,624,,N,,88400.27734,1982.127074
9614,BLM,,Unknown,9/30/2013 0:00,2010-COSJD-000089,2010,Cash Canyon,,2/14/2010 0:00,118.6556639,,FJ8V,,COSJD,CO,,89,,N,,761837.4141,5557.586496
9616,Local agency,,Unknown,7/20/2010 0:00,2010-WAYAKN-000102,2010,Cowiche Mill,,7/19/2010 8:00,6191.744943,,FL23,,WAYAKN,WA,,102,,N,,53107342.23,35407.85542
9617,BLM,GPS-walked,GPS-Walked,10/28/2008 0:00,2008-IDBOD-000738,2008,Faulkner,,9/30/2008 2:09,25.66116965,,ELJ3,,IDBOD,ID,,738,,N,,195688.7656,3135.595354
9622,BLM,,Unknown,10/25/2010 0:00,2010-AKUYD-000501,2010,Pat Creek,,10/22/2010 0:00,72691.74391,,FG54,,AKUYD,AK,,501,,N,,1808520673,323400.7771
9623,BLM,,Unknown,5/18/2010 0:00,2010-AKMID-000097,2010,South Fork Chena,,5/12/2010 0:00,958.7553733,,FD1J,,AKMID,AK,,97,,N,,21167301.78,55123.75653
9624,BLM,,Unknown,2/12/2013 0:00,2010-NVWID-FJW6,2010,Frog Pond,,7/4/2010 0:00,0.12088567,,FJW6,,NVWID,NV,,,,N,,853.1640625,131.5891476
9625,BLM,,Unknown,1/20/2011 0:00,2010-NMLCD-00E9K3,2010,Bishop Gap,,2/5/2010 20:00,210.8753607,,E9K3,,NMLCD,NM,,00E9K3,,N,,1195813.359,4899.855727
9626,BLM,,Unknown,5/7/2013 0:00,2010-AKGAD-000657,2010,Fauna Creek West,,9/12/2010 9:00,0.17544694,,FNS6,,AKGAD,AK,,657,,N,,5126.71875,315.3630509
9627,BLM,,Unknown,5/7/2013 0:00,2010-AKGADC-000601,2010,Imelyak River 2,,9/12/2010 8:00,3.95559096,,FJ9P,,AKGADC,AK,,601,,N,,111059.6406,1451.493023
9634,USFS,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CABDF-012185,2010,Bautista,,8/12/2010 0:08,14.6898247,,FQ8R,,CABDF,CA,,12185,,N,,86063.03906,1238.745936
9639,USFS,GPS ground; No entry in FireCode,GPS-Walked/ Driven,4/21/2011 0:00,2010-CAPNF-000754,2010,Woody,,7/28/2010 0:00,17.84780852,CARIBOU COMPLEX (FRE4),,,CAPNF,CA,,754,,Y,FRE4,123305.6602,1480.857346
9640,BLM,Named '250' in FireCode,Unknown,10/18/2010 0:00,2010-AKDAS-012250,2010,South Fork Healy,,6/17/2010 0:00,2204.713053,,FE0M,,AKDAS,AK,,12250,,N,,46206291.52,39111.02839
9646,State agency,No entry in FireCode; GPS ground,GPS-Walked/ Driven,1/11/2011 0:00,2008-CA-002373,2008,SARGEANTS,,6/21/2008 0:00,19.55878273,,,,CA,CA,,2373,,N,,120989.7422,1711.947579
9647,USFS,,Unknown,9/7/2010 0:00,2010-ORMHF-000233,2010,Pyramid Butte,,9/3/2010 0:00,1759.442434,View Lake Complex,FR3R,,ORMHF,OR,,233,,Y,,14122216.39,41679.23989
9648,BLM,,Unknown,5/7/2013 0:00,2010-AKGAD-GJ3H,2010,Imelyak River West,,9/12/2010 13:00,17.31613619,,GJ3H,,AKGAD,AK,,,,N,,490508.7188,3021.056512
9649,BLM,,Unknown,10/18/2010 0:00,2010-AKTAD-000508,2010,Ray,,8/20/2010 0:00,363.9795599,,FG9L,,AKTAD,AK,,508,,N,,8663344.5,16171.63285
9650,BLM,,Unknown,6/1/2010 0:00,2010-AKTAD-000241,2010,Jeannes Lake,,6/1/2010 0:00,17080.57867,,FEX1,,AKTAD,AK,,241,,N,,361573468.6,119644.6093
9651,BLM,,Unknown,11/7/2011 0:00,2010-COLSD-000614,2010,Two Bar #2,,9/20/2010 0:00,23.67704692,,FVT1,,COLSD,CO,,614,,N,,166370.4648,4318.351222
9652,State agency,GPS flight,GPS-Flight,9/11/2008 0:00,2008-IDSCS-000390,2008,Nature,,8/28/2008 5:18,14859.68801,,EH9V,,IDSCS,ID,,390,,N,,113431139.8,80366.52481
9653,BLM,GPS walked,GPS-Walked,9/11/2008 0:00,2008-IDSIX-000423,2008,Magic Waters No. 1,,9/8/2008 11:24,36.26531561,,EJ87,,IDTFD,ID,,423,,N,,271760.3516,3116.757156
9654,BLM,,Unknown,1/20/2011 0:00,2010-NMCAD-000017,2010,FIJI,,5/18/2010 16:56,109.7087966,,FD60,,NMCAD,NM,,17,,N,,622326.7578,3286.442832
9655,State agency,,Unknown,10/27/2010 0:00,2010-AKMSS,2010,Fort Rich,,6/16/2010 0:00,660.8519346,,,,AKMSS,AK,,,,N,,11584560.88,50972.24569
9658,BLM,,Unknown,1/20/2011 0:00,2010-NMCAD-000028,2010,HESS HILLS,,6/9/2010 21:06,30.82444301,,FFS5,,NMCAD,NM,,28,,N,,174976.543,1962.857794
9659,State agency,,Unknown,11/23/2010 0:00,2010-CARRU-046366,2010,Fairview,,5/26/2010 0:00,64.01929698,,FER6,,CARRU,CA,,46366,,N,,375412.75,3922.969294
9660,BLM,,Unknown,5/9/2011 0:00,2010-WYRAD-000294,2010,Iron Draw,,8/16/2010 11:22,175.4087103,,FRU2,,WYRAD,WY,,294,,N,,1272932.367,9146.40578
9661,USFS,,Unknown,6/22/2010 0:00,2010-NMSNF-000057,2010,Tecolote,,6/21/2010 16:45,811.8791902,,FF1H,,NMSNF,NM,,57,,N,,4989739.406,13733.9916
9662,BLM,,Unknown,2/1/2011 0:00,2010-NMLCD-10FE9G,2010,Ft Bliss,,6/4/2010 21:24,409.7635668,,FE9G,,NMLCD,NM,,10FE9G,,N,,2323899.629,6950.475304
9663,BLM,,Unknown,7/19/2010 0:00,2010-AKGAD-000563,2010,Lake Tutusirok,,7/16/2010 0:00,7386.708492,,FH8Z,,AKGAD,AK,,563,,N,,215347166,70728.57462
9664,BLM,WFDSS; GPS ground,GPS-Walked/ Driven,10/21/2010 0:00,2010-AZASD-100528,2010,Mustang,,9/20/2010 16:00,2668.40695,,FQP5,,AZASD,AZ,,100528,,N,,16830542.15,24586.23758
9665,State agency,,Unknown,1/20/2011 0:00,2010-NMN5S-000026,2010,BLOWOUT,,9/10/2010 17:06,40.2540641,,FU22,,NMN5S,NM,,26,,N,,235765.3477,4260.865905
9666,BLM,,Unknown,7/19/2010 0:00,2010-AKUYD-000646,2010,Ninemile Slough,,7/16/2010 0:00,4.97151515,,FLR9,,AKUYD,AK,,646,,N,,129623.1563,3017.003476
9667,BLM,,Unknown,6/7/2010 0:00,2010-AKUYD-000242,2010,South Schwatka,,6/4/2010 0:00,1053.93772,,FEX2,,AKUYD,AK,,242,,N,,25216648.17,38404.91862
9668,BLM,,Unknown,7/23/2010 0:00,2010-AKTAD-000296,2010,Lost River,,7/22/2010 0:00,15331.40095,,FE3X,,AKYTDC,AK,,296,,N,,333035099.8,110594.1975
9669,State agency,,Unknown,6/3/2010 0:00,2010-NMN2S-000038,2010,H12,,5/27/2010 0:00,5152.655405,,FEF5,,NMN2S,NM,,38,,N,,32724055.59,41498.59688
9670,BLM,,Unknown,10/20/2010 0:00,2010-AKGAD-000467,2010,Kokopuk Creek,,7/10/2010 0:00,4.37819151,,FG1U,,AKGAD,AK,,467,,N,,113021.7813,1257.667271
9671,BLM,,Unknown,10/27/2010 0:00,2010-AKGAD-000460,2010,Montana Creek,,10/19/2010 0:00,6036.441844,,FG1G,,AKGAD,AK,,460,,N,,145105013,77421.53593
9674,State Agency,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CASKU-005505,2010,Hart,,7/29/2010 15:26,3.32119794,,FN2M,,CASKU,CA,,5505,,N,,24096.21875,599.1645681
9675,NPS,GPS air,GPS-Flight,4/14/2011 0:00,2010-CAYNP-002601,2010,Wildcat 2,,7/17/2010 17:36,15.81089723,,FL5K,,CAYNP,CA,,2601,,N,,103061.7813,1212.217333
9680,BLM,,Unknown,6/10/2010 0:00,2010-AKTAD-000899,2010,Toklat 2,,6/9/2010 0:00,188807.1355,,FE8M,,AKYTDC,AK,,899,,N,,4032671691,613326.3331
